UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW,XEFGNDRU,EFGNDRUN,XEFGNDRA,EFGNDRAN,XEFGNDRU,EFGNDRUA,XEFGNDRK,EFGNDRKN
459967, 4,99,3,1,R,168,R,59,R,109,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,1,Z,0,R,1,R,119,R,45,R,74,Z,0,Z,0,Z,0,R,46,R,14,R,32,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459967, 5,99,3,1,R,450,R,184,R,266,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7,R,4,R,3,R,321,R,129,R,192,Z,0,Z,0,Z,0,R,121,R,50,R,71,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459967,20,99,3,1,R,450,R,184,R,266,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7,R,4,R,3,R,321,R,129,R,192,Z,0,Z,0,Z,0,R,121,R,50,R,71,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459967,21,14,1,4,R,618,R,243,R,375,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,8,R,4,R,4,R,440,R,174,R,266,Z,0,Z,0,Z,0,R,167,R,64,R,103,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459967,22, 8,1,1,R,618,R,243,R,375,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,8,R,4,R,4,R,440,R,174,R,266,Z,0,Z,0,Z,0,R,167,R,64,R,103,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459967,23, 6,1,1,R,618,R,243,R,375,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,8,R,4,R,4,R,440,R,174,R,266,Z,0,Z,0,Z,0,R,167,R,64,R,103,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459967,24, 1,1,1,R,168,R,59,R,109,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,1,Z,0,R,1,R,119,R,45,R,74,Z,0,Z,0,Z,0,R,46,R,14,R,32,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459967,25,99,1,1,R,450,R,184,R,266,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7,R,4,R,3,R,321,R,129,R,192,Z,0,Z,0,Z,0,R,121,R,50,R,71,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459967,40, 3,1,1,R,450,R,184,R,266,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7,R,4,R,3,R,321,R,129,R,192,Z,0,Z,0,Z,0,R,121,R,50,R,71,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459985, 1,29,3,4,R,508,R,260,R,248,R,1,Z,0,R,1,R,1,Z,0,R,1,R,8,R,3,R,5,R,281,R,141,R,140,Z,0,Z,0,Z,0,R,214,R,115,R,99,R,2,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,Z,0,R,508
459985, 2,99,3,1,R,508,R,260,R,248,R,1,Z,0,R,1,R,1,Z,0,R,1,R,8,R,3,R,5,R,281,R,141,R,140,Z,0,Z,0,Z,0,R,214,R,115,R,99,R,2,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,0,R,0,R,0,R,508
459985, 3,99,3,1,R,508,R,260,R,248,R,1,Z,0,R,1,R,1,Z,0,R,1,R,8,R,3,R,5,R,281,R,141,R,140,Z,0,Z,0,Z,0,R,214,R,115,R,99,R,2,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459985, 4,99,3,1,R,119,R,68,R,51,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,55,R,35,R,20,Z,0,Z,0,Z,0,R,64,R,33,R,31,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459985, 5,99,3,1,R,389,R,192,R,197,R,1,Z,0,R,1,R,1,Z,0,R,1,R,8,R,3,R,5,R,226,R,106,R,120,Z,0,Z,0,Z,0,R,150,R,82,R,68,R,2,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
