UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
448354,40, 3,1,1,R,120,R,13,R,107,R,1,Z,0,R,1,R,5,R,1,R,4,R,46,R,5,R,41,R,42,R,4,R,38,R,1,Z,0,R,1,R,23,R,3,R,20,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0
448354,41,28,2,4,R,101,R,12,R,89,R,0,Z,0,R,0,R,7,R,4,R,3,R,34,R,4,R,30,R,30,R,3,R,27,R,1,Z,0,R,1,R,29,R,1,R,28,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
448354,42,22,2,1,R,101,R,12,R,89,R,0,Z,0,R,0,R,7,R,4,R,3,R,34,R,4,R,30,R,30,R,3,R,27,R,1,Z,0,R,1,R,29,R,1,R,28,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
448354,43,20,2,1,R,101,R,12,R,89,R,0,Z,0,R,0,R,7,R,4,R,3,R,34,R,4,R,30,R,30,R,3,R,27,R,1,Z,0,R,1,R,29,R,1,R,28,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
448354,44,15,2,1,R,34,R,4,R,30,R,0,Z,0,R,0,R,3,R,3,R,0,R,17,Z,0,R,17,R,11,R,1,R,10,R,0,Z,0,R,0,R,3,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
448354,45,99,2,1,R,67,R,8,R,59,Z,0,Z,0,Z,0,R,4,R,1,R,3,R,17,R,4,R,13,R,19,R,2,R,17,R,1,Z,0,R,1,R,26,R,1,R,25,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
448354,60,17,2,1,R,67,R,8,R,59,Z,0,Z,0,Z,0,R,4,R,1,R,3,R,17,R,4,R,13,R,19,R,2,R,17,R,1,Z,0,R,1,R,26,R,1,R,25,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
448424, 1,29,3,4,R,54,R,0,R,54,R,11,Z,0,R,11,R,1,Z,0,R,1,R,8,Z,0,R,8,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,31,Z,0,R,31,R,1,Z,0,R,1,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424, 2,99,3,1,R,54,R,0,R,54,R,11,Z,0,R,11,R,1,Z,0,R,1,R,8,Z,0,R,8,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,31,Z,0,R,31,R,1,Z,0,R,1,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424, 3,99,3,1,R,54,R,0,R,54,R,11,Z,0,R,11,R,1,Z,0,R,1,R,8,Z,0,R,8,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,31,Z,0,R,31,R,1,Z,0,R,1,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424, 4,99,3,1,R,20,R,0,R,20,R,4,Z,0,R,4,Z,0,Z,0,Z,0,R,3,Z,0,R,3,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,10,Z,0,R,10,R,1,Z,0,R,1,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424, 5,99,3,1,R,34,R,0,R,34,R,7,Z,0,R,7,R,1,Z,0,R,1,R,5,Z,0,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,21,Z,0,R,21,Z,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424,20,99,3,1,R,34,R,0,R,34,R,7,Z,0,R,7,R,1,Z,0,R,1,R,5,Z,0,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,21,Z,0,R,21,Z,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424,21,14,1,4,R,46,R,0,R,46,R,8,Z,0,R,8,Z,0,Z,0,Z,0,R,8,Z,0,R,8,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,29,Z,0,R,29,Z,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424,22, 8,1,1,R,46,R,0,R,46,R,8,Z,0,R,8,Z,0,Z,0,Z,0,R,8,Z,0,R,8,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,29,Z,0,R,29,Z,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424,23, 6,1,1,R,46,R,0,R,46,R,8,Z,0,R,8,Z,0,Z,0,Z,0,R,8,Z,0,R,8,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,29,Z,0,R,29,Z,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424,24, 1,1,1,R,16,R,0,R,16,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,3,Z,0,R,3,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,10,Z,0,R,10,Z,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424,25,99,1,1,R,30,R,0,R,30,R,6,Z,0,R,6,Z,0,Z,0,Z,0,R,5,Z,0,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,19,Z,0,R,19,Z,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424,40, 3,1,1,R,30,R,0,R,30,R,6,Z,0,R,6,Z,0,Z,0,Z,0,R,5,Z,0,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,19,Z,0,R,19,Z,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424,41,28,2,4,R,8,R,0,R,8,R,3,Z,0,R,3,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,1,Z,0,R,1,R,0,R,0,Z,0,Z,0,Z,0,Z,0
448424,42,22,2,1,R,8,R,0,R,8,R,3,Z,0,R,3,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,1,Z,0,R,1,R,0,R,0,Z,0,Z,0,Z,0,Z,0
