UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
174136, 3,"R",4806,"R",2383,"R",1438,"R",985,"R",2320,"R",58,"R",0,"R",0,"R",5
174136,11,"R",1167,"R",537,"R",164,"R",466,"R",517,"R",15,"R",0,"R",0,"R",5
174154, 1,"R",759,"R",207,"R",331,"R",221,"R",189,"R",18,"R",0,"R",0,"R",0
174154, 2,"R",750,"R",198,"R",331,"R",221,"R",182,"R",16,"R",0,"R",0,"R",0
174154, 3,"R",746,"R",194,"R",331,"R",221,"R",178,"R",16,"R",0,"R",0,"R",0
174154,11,"R",4,"R",4,"R",0,"R",0,"R",4,"R",0,"Z",0,"Z",0,"R",0
174154,12,"R",9,"R",9,"R",0,"R",0,"R",7,"R",2,"Z",0,"Z",0,"R",0
174190, 1,"R",189,"A",,"A",,"R",189,"A",,"A",,"A",,"A",,"A",
174190, 2,"R",189,"A",,"A",,"R",189,"A",,"A",,"A",,"A",,"A",
174190, 3,"C",189,"A",,"A",,"C",189,"A",,"A",,"A",,"A",,"A",
174233, 1,"R",9884,"R",250,"R",4332,"R",5302,"R",208,"R",39,"R",0,"R",3,"R",0
174233, 2,"R",9024,"R",204,"R",3982,"R",4838,"R",175,"R",26,"R",0,"R",3,"R",0
174233, 3,"R",8084,"R",194,"R",3978,"R",3912,"R",166,"R",26,"R",0,"R",2,"R",0
174233,11,"R",940,"R",10,"R",4,"R",926,"R",9,"R",0,"R",0,"R",1,"R",0
174233,12,"R",860,"R",46,"R",350,"R",464,"R",33,"R",13,"R",0,"R",0,"R",0
174251, 1,"R",1286,"R",61,"R",793,"R",432,"R",44,"R",16,"R",0,"R",1,"R",0
174251, 2,"R",1286,"R",61,"R",793,"R",432,"R",44,"R",16,"R",0,"R",1,"R",0
174251, 3,"R",1189,"R",48,"R",781,"R",360,"R",32,"R",15,"R",0,"R",1,"R",0
174251,11,"R",97,"R",13,"R",12,"R",72,"R",12,"R",1,"R",0,"R",0,"R",0
174321, 1,"R",128,"A",,"A",,"R",128,"A",,"A",,"A",,"A",,"A",
174321, 2,"R",128,"A",,"A",,"R",128,"A",,"A",,"A",,"A",,"A",
174321, 3,"C",128,"A",,"A",,"C",128,"A",,"A",,"A",,"A",,"A",
174358, 1,"R",5088,"R",1426,"R",2426,"R",1236,"R",1063,"R",356,"R",0,"R",0,"R",7
174358, 2,"R",4026,"R",601,"R",2339,"R",1086,"R",399,"R",198,"R",0,"R",0,"R",4
174358, 3,"R",3778,"R",450,"R",2318,"R",1010,"R",307,"R",140,"R",0,"R",0,"R",3
174358,11,"R",248,"R",151,"R",21,"R",76,"R",92,"R",58,"R",0,"R",0,"R",1
174358,12,"R",1062,"R",825,"R",87,"R",150,"R",664,"R",158,"R",0,"R",0,"R",3
