UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100654, 1,"R",6172,"R",102,"R",1213,"R",4857,"R",73,"R",21,"R",7,"R",0,"R",1
100654, 2,"R",5273,"R",83,"R",986,"R",4204,"R",57,"R",20,"R",6,"R",0,"R",0
100654, 3,"R",5271,"R",83,"R",985,"R",4203,"R",57,"R",20,"R",6,"R",0,"R",0
100654,11,"R",2,"R",0,"R",1,"R",1,"A",,"A",,"A",,"A",,"A",
100654,12,"R",899,"R",19,"R",227,"R",653,"R",16,"R",1,"R",1,"R",0,"R",1
100663, 1,"R",22080,"R",5736,"R",7265,"R",9079,"R",3878,"R",1842,"R",0,"R",5,"R",11
100663, 2,"R",13836,"R",2398,"R",6216,"R",5222,"R",2009,"R",389,"R",0,"R",0,"R",0
100663, 3,"R",13328,"R",2143,"R",6178,"R",5007,"R",1763,"R",380,"R",0,"R",0,"R",0
100663,11,"R",508,"R",255,"R",38,"R",215,"R",246,"R",9,"R",0,"R",0,"R",0
100663,12,"R",8244,"R",3338,"R",1049,"R",3857,"R",1869,"R",1453,"R",0,"R",5,"R",11
100690, 1,"R",833,"R",833,"A",,"A",,"R",456,"R",377,"Z",0,"Z",0,"R",0
100690, 2,"R",365,"R",365,"A",,"A",,"R",244,"R",121,"Z",0,"Z",0,"R",0
100690, 3,"R",365,"R",365,"A",,"A",,"R",244,"R",121,"Z",0,"Z",0,"R",0
100690,12,"R",468,"R",468,"A",,"A",,"R",212,"R",256,"Z",0,"Z",0,"R",0
100706, 1,"R",9988,"R",747,"R",2559,"R",6682,"R",502,"R",245,"Z",0,"Z",0,"R",0
100706, 2,"R",7989,"R",241,"R",2252,"R",5496,"R",205,"R",36,"Z",0,"Z",0,"R",0
100706, 3,"R",7785,"R",235,"R",2246,"R",5304,"R",200,"R",35,"Z",0,"Z",0,"R",0
100706,11,"R",204,"R",6,"R",6,"R",192,"R",5,"R",1,"Z",0,"Z",0,"R",0
100706,12,"R",1999,"R",506,"R",307,"R",1186,"R",297,"R",209,"Z",0,"Z",0,"R",0
100724, 1,"R",4190,"R",57,"R",1322,"R",2811,"R",46,"R",11,"Z",0,"Z",0,"R",0
100724, 2,"R",3750,"R",29,"R",1278,"R",2443,"R",21,"R",8,"Z",0,"Z",0,"R",0
100724, 3,"R",3750,"R",29,"R",1278,"R",2443,"R",21,"R",8,"Z",0,"Z",0,"R",0
100724,12,"R",440,"R",28,"R",44,"R",368,"R",25,"R",3,"Z",0,"Z",0,"R",0
100751, 1,"R",38100,"R",4515,"R",526,"R",33059,"R",2303,"R",2117,"R",65,"R",30,"R",0
100751, 2,"R",32795,"R",2856,"R",262,"R",29677,"R",1609,"R",1203,"R",30,"R",14,"R",0
100751, 3,"R",31900,"R",2172,"R",233,"R",29495,"R",983,"R",1146,"R",30,"R",13,"R",0
100751,11,"R",895,"R",684,"R",29,"R",182,"R",626,"R",57,"Z",0,"R",1,"R",0
100751,12,"R",5305,"R",1659,"R",264,"R",3382,"R",694,"R",914,"R",35,"R",16,"R",0
100760, 1,"R",1799,"R",170,"R",563,"R",1066,"R",169,"R",1,"R",0,"R",0,"R",0
100760, 2,"R",1799,"R",170,"R",563,"R",1066,"R",169,"R",1,"R",0,"R",0,"R",0
100760, 3,"R",1201,"R",105,"R",490,"R",606,"R",104,"R",1,"R",0,"R",0,"R",0
100760,11,"R",598,"R",65,"R",73,"R",460,"R",65,"R",0,"R",0,"R",0,"R",0
100812, 1,"R",2941,"R",1996,"R",703,"R",242,"R",1894,"R",102,"R",0,"R",0,"R",0
100812, 2,"R",2774,"R",1833,"R",700,"R",241,"R",1748,"R",85,"R",0,"R",0,"R",0
100812, 3,"R",2677,"R",1741,"R",699,"R",237,"R",1666,"R",75,"R",0,"R",0,"R",0
100812,11,"R",97,"R",92,"R",1,"R",4,"R",82,"R",10,"R",0,"R",0,"R",0
100812,12,"R",167,"R",163,"R",3,"R",1,"R",146,"R",17,"R",0,"R",0,"R",0
100830, 1,"R",5188,"R",642,"R",1816,"R",2730,"R",594,"R",33,"R",15,"R",0,"R",0
100830, 2,"R",4523,"R",378,"R",1630,"R",2515,"R",356,"R",22,"R",0,"R",0,"R",0
100830, 3,"R",4407,"R",355,"R",1626,"R",2426,"R",336,"R",19,"R",0,"R",0,"R",0
100830,11,"R",116,"R",23,"R",4,"R",89,"R",20,"R",3,"R",0,"R",0,"R",0
100830,12,"R",665,"R",264,"R",186,"R",215,"R",238,"R",11,"R",15,"R",0,"R",0
100858, 1,"R",30460,"R",1696,"R",6610,"R",22154,"R",648,"R",1024,"Z",0,"R",24,"R",0
100858, 2,"R",24594,"R",398,"R",6186,"R",18010,"R",159,"R",232,"Z",0,"R",7,"R",0
100858, 3,"R",24209,"R",398,"R",6176,"R",17635,"R",159,"R",232,"Z",0,"R",7,"R",0
100858,11,"R",385,"Z",0,"R",10,"R",375,"A",,"A",,"A",,"A",,"A",
100858,12,"R",5866,"R",1298,"R",424,"R",4144,"R",489,"R",792,"Z",0,"R",17,"R",0
100937, 1,"R",1209,"R",0,"R",0,"R",1209,"A",,"A",,"A",,"A",,"A",
100937, 2,"R",1209,"R",0,"R",0,"R",1209,"A",,"A",,"A",,"A",,"A",
100937, 3,"R",1205,"R",0,"R",0,"R",1205,"A",,"A",,"A",,"A",,"A",
100937,11,"R",4,"R",0,"R",0,"R",4,"A",,"A",,"A",,"A",,"A",
101028, 1,"R",1592,"R",88,"R",393,"R",1111,"R",64,"R",24,"R",0,"R",0,"R",0
101028, 2,"R",1592,"R",88,"R",393,"R",1111,"R",64,"R",24,"R",0,"R",0,"R",0
101028, 3,"R",1394,"R",74,"R",344,"R",976,"R",50,"R",24,"R",0,"R",0,"R",0
101028,11,"R",198,"R",14,"R",49,"R",135,"R",14,"R",0,"R",0,"R",0,"R",0
101116, 1,"R",307,"Z",0,"R",184,"R",123,"A",,"A",,"A",,"A",,"A",
101116, 2,"R",251,"Z",0,"R",145,"R",106,"A",,"A",,"A",,"A",,"A",
101116, 3,"R",251,"Z",0,"R",145,"R",106,"A",,"A",,"A",,"A",,"A",
101116,12,"R",56,"Z",0,"R",39,"R",17,"A",,"A",,"A",,"A",,"A",
101143, 1,"R",1804,"R",228,"R",538,"R",1038,"R",223,"R",5,"R",0,"R",0,"R",0
101143, 2,"R",1804,"R",228,"R",538,"R",1038,"R",223,"R",5,"R",0,"R",0,"R",0
101143, 3,"R",1332,"R",115,"R",457,"R",760,"R",112,"R",3,"R",0,"R",0,"R",0
101143,11,"R",472,"R",113,"R",81,"R",278,"R",111,"R",2,"R",0,"R",0,"R",0
